PORT_NAME_FROM,PORT_NAME_TO,DISTANCE,METHOD,CONFIDENCE
QINGDAO,TABONEO,4275.32,searoute,high
MAP TA PHUT,KAMSAR ANCHORAGE,17650.55,searoute,high
MAP TA PHUT,PORT HEDLAND,4643.39,searoute,high
MAP TA PHUT,ITAGUAI,17965.98,searoute,high
MAP TA PHUT,DAMPIER,4719.05,searoute,high
MAP TA PHUT,PONTA DA MADEIRA,19330.43,searoute,high
MAP TA PHUT,SALDANHA BAY,11876.79,searoute,high
MAP TA PHUT,VANCOUVER (CANADA),13464.58,searoute,high
MAP TA PHUT,TUBARAO,17804.43,searoute,high
GWANGYANG LNG TERMINAL,KAMSAR ANCHORAGE,20788.8,searoute,high
GWANGYANG LNG TERMINAL,ITAGUAI,20821.15,searoute,high
GWANGYANG LNG TERMINAL,DAMPIER,6532.96,searoute,high
GWANGYANG LNG TERMINAL,PONTA DA MADEIRA,20017.76,searoute,high
GWANGYANG LNG TERMINAL,SALDANHA BAY,14731.96,searoute,high
GWANGYANG LNG TERMINAL,TABONEO,4278.0,searoute,high
GWANGYANG LNG TERMINAL,TUBARAO,20659.59,searoute,high
FANGCHENG,KAMSAR ANCHORAGE,18687.74,searoute,high
PARADIP,KAMSAR ANCHORAGE,15308.97,searoute,high
PARADIP,DAMPIER,6066.62,searoute,high
PARADIP,PONTA DA MADEIRA,17427.76,searoute,high
PARADIP,SALDANHA BAY,9974.12,searoute,high
PARADIP,TUBARAO,15901.75,searoute,high
CAOFEIDIAN,KAMSAR ANCHORAGE,21378.58,searoute,high
ROTTERDAM,KAMSAR ANCHORAGE,5213.4,searoute,high
ROTTERDAM,PORT HEDLAND,18097.24,searoute,high
ROTTERDAM,DAMPIER,17933.34,searoute,high
XIAMEN,KAMSAR ANCHORAGE,19239.51,searoute,high
XIAMEN,PONTA DA MADEIRA,20641.62,searoute,high
XIAMEN,SALDANHA BAY,13187.97,searoute,high
KANDLA,KAMSAR ANCHORAGE,12327.25,searoute,high
KANDLA,PORT HEDLAND,7881.82,searoute,high
KANDLA,ITAGUAI,14936.0,searoute,high
KANDLA,DAMPIER,7717.92,searoute,high
KANDLA,PONTA DA MADEIRA,14952.83,searoute,high
KANDLA,TUBARAO,14774.44,searoute,high
PORT TALBOT,KAMSAR ANCHORAGE,4827.37,searoute,high
PORT TALBOT,PORT HEDLAND,17712.55,searoute,high
PORT TALBOT,DAMPIER,17548.65,searoute,high
PORT TALBOT,TABONEO,17283.53,searoute,high
PORT TALBOT,VANCOUVER (CANADA),16287.18,searoute,high
MUNDRA,KAMSAR ANCHORAGE,12327.25,searoute,high
MUNDRA,PORT HEDLAND,7881.82,searoute,high
MUNDRA,ITAGUAI,14936.0,searoute,high
MUNDRA,DAMPIER,7717.92,searoute,high
MUNDRA,PONTA DA MADEIRA,14952.83,searoute,high
MUNDRA,SALDANHA BAY,8846.8,searoute,high
MUNDRA,TUBARAO,14774.44,searoute,high
JINGTANG,KAMSAR ANCHORAGE,21378.58,searoute,high
JINGTANG,TABONEO,4867.78,searoute,high
VIZAG,KAMSAR ANCHORAGE,14936.97,searoute,high
VIZAG,PORT HEDLAND,6041.24,searoute,high
VIZAG,ITAGUAI,15691.31,searoute,high
VIZAG,DAMPIER,6116.9,searoute,high
VIZAG,PONTA DA MADEIRA,17055.76,searoute,high
VIZAG,SALDANHA BAY,9602.11,searoute,high
VIZAG,TUBARAO,15529.75,searoute,high
JUBAIL,KAMSAR ANCHORAGE,12883.67,searoute,high
JUBAIL,PORT HEDLAND,9817.98,searoute,high
JUBAIL,ITAGUAI,15669.44,searoute,high
JUBAIL,DAMPIER,9654.08,searoute,high
JUBAIL,PONTA DA MADEIRA,15509.25,searoute,high
JUBAIL,TABONEO,9317.21,searoute,high
JUBAIL,VANCOUVER (CANADA),20642.71,searoute,high
